Korean,English
내가,I
그,That
난,I
내,of mine
안,within
수,Number
이,this
네,Yeah
거야,Will
좀,A little
그래,okay
있어,there is
왜,Why
더,more
그리고,And
우리,Us
다,All
무슨,what
한,One
하지만,However
잘,well
어떻게,how
할,which
그냥,just
정말,Really
그럼,then
것,that
게,to
있어요,I have it
있는,there is
해,year
여기,here
넌,You
제가,I
날,day
우리가,U.S
건,key
전,I'm
이제,now
지금,now
그게,that
걸,What
거,roughness
아니,no
네가,you
없어,no
돼,Gotta
저,that
우린,we
제,My
못,nail
좋아,Good
당신이,You
다른,Different
나,I
그런,then
그건,that's
너무,Too
그래서,so
그렇게,like that
다시,again
이건,This
이런,this
나도,I also
모든,all
당신,you
거예요,Will
당신은,You
아,Ah
좋은,good
오,Five
때,time
너,you
하는,doing
하고,and
아냐,no
나는,I
아니야,no
알아,Know
같이,together
응,Huh
이게,this
없어요,do not have
괜찮아,OK
오늘,today
말이야,You mean
줄,line
또,In addition
널,Null
누가,Who
어떤,which
아주,very
말,Words
아직,yet
안돼,No
진짜,Really
모두,all
마,hemp
같은,same
여기서,here
어서,hurry
그는,he is
위해,for
해요,do
일이,Days
하지,Not
엄마,Mom
바로,Right away
가,end
근데,by the way
알고,know
이렇게,like this
빨리,Quickly
있습니다,There is
이거,this
전에,before
어,uh
아뇨,no
계속,continue
닥터,doctor
얼마나,how much
될,To be
알았어,Okay.
않아,I do not
제발,please
있지,It is not
겁니다,Will
어디,where
사람이,People
그가,he
안녕,Hi
좋아요,good
같아,same
우리는,We are
그래요,Ok
당신을,you
자,character
그걸,It
두,two
아니에요,No
있을,There
때문에,Because
대해,about
아빠,Dad
몇,Few
사람,Person
했어,I did it
뭐야,what
수도,Capital
많이,A lot of
집에,At home
거지,Beggar
일을,work
저는,I am
음,Well
그렇지,right
함께,together
만약,if
하나,one
저기,there
고마워요,Thank you
항상,always
나한테,To me
잠깐,awhile
가서,Go
가장,most
돼요,can
거죠,Did
가자,Go
맞아,right
보고,report
와,Wow
그거,that
말을,The end
괜찮아요,It's okay
아무도,no one
없는,Do not have
안녕하세요,Good morning
몰라,do not know
일,Work
많은,Plenty
당신의,Your
아무것도,nothing
그러니까,So
큰,large
알아요,I know
그의,His
뭐가,what
고마워,Thanks
그만,stop
했어요,Done
젠장,Damn it
사람들이,People
거에요,Going
이걸,It
그럴,It
것도,It
말이,Horse
이미,already
야,Hey
그를,Him
뭔가,Something
온,On
이봐,Hey
아니면,if not
같아요,same
그런데,By the way
아니라,not
세상에,Oh my gosh
있다고,That
있고,And
뭐라고,what
예,Yes
절대,never
말야,Malya
당장,right now
그래도,still
대한,About
말은,I mean
거기,there
전부,all
둘,two
그녀는,She is
니가,You're
갈,To go
않아요,I do not
자기,magnetism
있죠,Itjyo
하면,if
가지고,have
그들이,they
참,Oh yeah
너도,you too
됐어,done
미안해,Sorry
것을,Thing
여긴,Here
아무,any
사람은,people
감사합니다,Thank you
다들,everyone
어때,What do you think
씨,Seed
곧,soon
엄마가,Mom
나를,me
이젠,now
아마,maybe
그들은,they
얘기,story
꼭,exactly
있잖아,Hey
저도,me too
지금은,Now is
그녀가,She
중,medium
있다,have
시간,time
먼저,first
우릴,Us
말고,not
사람을,People
수가,Number
봐요,see
있는데,there is
알았어요,I see
해야,Sun
있었어,It was
우리의,Our
않을,Will
방금,just now
완전,very
된,The
동안,During
시간이,This time
싶어,want
본,example
일은,What
친구,friend
들어,listen
안에,in
번,time
자네,You
합니다,The
사실,Actually
한번,once
대체,how
같은데,Looks
생각해,think
맞아요,Yes
볼,ball
혼자,Alone
자네가,You have
절,section
그러니,so
선생님,Teacher
사람들은,People
문제가,The problem
다음,next
물론,sure
거의,almost
일이야,One's
없습니다,There is not
아빠가,Father
되는,felled
그러면,then
순,Net
가는,going
말도,Anything
이리,Wolf
있었어요,It was
맙소사,Oh My God
내일,tomorrow
있으면,if there is
잠깐만,Wait a minute
싫어,Hate
중요한,important
내게,to me
말해,Say it
이상,More than
거라고,Would
아는,know
너는,you are
새,bird
적,enemy
전혀,Not at all
여자,Woman
새로운,new
너희,you
왔어,I'm here
아직도,Still
가지,Branch
나와,come out
알,egg
싶지,Want
여기에,Here
원하는,want
돈,money
필요,need
도움이,help
그녀를,Her
몰라요,I do not know
작은,small
혹시,Perhaps
미안해요,Sorry
나쁜,Bad
죄송해요,I'm sorry
모르겠어,I do not know
가요,Go
알지,know
밖에,outside
직접,directly
있나,Are
니,You
해도,chart
하죠,I
했는데,I
필요해,I need
아니요,no
적이,Ever
있나요,do you have
갖고,Have
돈을,money
주세요,please
어디서,where
것이,It
거요,Gonna
위한,for
것은,It
없이,without
나중에,Afterwards
아버지,father
나랑,with me
됐어요,That's Okay
마세요,do not
차,car
언제,when
그저,just
생각,think
했지,Did
봤어,saw
해서,By
시간을,Time
마지막,Last
알겠어,Okay
왜냐면,because
위해서,for
엄청,very
알겠습니다,Okay
오래,long
기다려,wait
아닙니다,no
있는지,That
알겠어요,I know
제일,most
지난,Last
그렇죠,right
죽은,dead
제대로,properly
아니지,Not.
있다면,if there is
보면,Look
우리를,Us
짓을,Done
남자,man
너가,you
있다는,That
누구,who
보여,see
왔어요,came
너한테,to you
여러분,Everyone
완전히,completely
너의,your
것이다,will be
밤,night
소리,sound
없지,Eopji
벌써,already
모르겠어요,I do not know
말이지,Es
올,All
사람들을,People
처음,first
말이죠,Malyijyo
사람들,people
그녀의,her
멋진,Cool
왜요,why
정말로,really
이름은,name is
와서,come
대해서,about
여보,Honey
조금,a little
않았어,I did not
말이에요,You mean
이름이,The name
여보세요,Hello
서로,each other
안돼요,No
죽을,dying
첫,First
매우,So
사랑해,I love you
오늘은,Today is
싶은,Want
어디로,Where
단지,just
아닌,not
나가,get out
뿐이야,only
미안,sorry
확실히,exactly
싶어요,want
죄송합니다,Sorry
때까지,until
없고,There
어때요,how is it
살,flesh
당연히,naturally
데리고,along
필요한,necessary
없다,none
후,after
가고,Going
글쎄,Well
않는,not
했죠,Did
나의,my
별로,not really
않은,That is
라고,Called
집,House
여전히,yet
없을,There
딱,Perfect
있어서,In
이야기,story
엄마는,Mom is
부인,wife
하는데,to do
않고,Without
알았지,Understand
아니고,Rather
여자가,Woman
문,door
되지,It is not
거기서,at there
훨씬,more
아버지가,Father
망할,Fuckin
뭔지,What
손,hand
수술,Operation
듣고,listen
어쩌면,perhaps
보세요,look
생각이,Think
어느,which
그러지,Surely
되면,When
아마도,Perhaps
준비,Ready
전화,telephone
뒤에,behind
도대체,why
너를,you
당신도,You
것처럼,Like
않으면,If the
말하는,talking
최고의,Great
말하지,Tell
세,three
모르는,do not know
유일한,only
갑자기,suddenly
이봐요,Hey
건가요,Are
없다고,That
것입니다,Will
있잖아요,You know
되고,And
어쨌든,anyway
가진,have
이번,this time
뭐하는,Doing
후에,after
친구가,Friends
지,G
신경,nerve
그만해,stop
누구야,Who is it
당신에게,to you
늘,always
없었어,I could
그들을,them
있게,Make
알잖아,You know
누군가,someone
분명히,clearly
생각을,Thoughts
존,zone
일단,First
가야,To go
걱정,worry
보자,Let's see
매일,everyday
수는,The number of
아침,morning
말할,Tell
말아요,Do not
모두가,all
않았어요,I did not
얘기를,To talk
봤어요,saw
대신,instead
마치,Like
건데,Gonna
자넨,You're
했잖아,Told
둘이,two people
당신과,with you
집으로,to home
한다,do
두고,Leave
이름을,name
있네,Itne
그들의,their
뭔데,What
금방,soon
사는,living
좋아하는,Favorite
찾을,Find
맘에,Like
결국,finally
이유가,the reason is
필요해요,I need
중에,While
그때,then
보는,see
너랑,with you
아이를,Children
없잖아,Beats
한다고,That
기분,Feeling
하게,to do
놈이,Guy
못해,can not
우리에게,To us
가면,mask
저를,me
잡아,catch
집에서,At home
우리도,We also
기분이,Feel
저희,we
찾고,Looking
손을,hand
거다,Gonna
어제,yesterday
남자가,Man
뭐지,What
앞으로,Forward
잠깐만요,Wait
자신의,Own
애가,keen
이상한,Weird
막,membrane
먹고,eat
아이,Child
언제나,always
여기가,here
아들,son
알게,Know
하세요,do it
총,gun
스스로,myself
방법이,Way
있던,It was
해봐,try
아님,no
때가,Time
아니죠,Not.
했던,Who
조용히,quietly
밤에,At night
미친,crazy
텐데,Would
머리,head
않습니다,not
잘못,mistake
고맙습니다,thank you
있어야,Must
왜냐하면,because
앉아,sit down
아침에,In the morning
죽일,Kill
환자,patient
양,amount
없죠,Eopjyo
일어나,wake up
믿을,Trust
같네요,Looks
건가,Did
게다가,Besides
알렉스,Alex
타고,Riding
데,place
들었어,Heard
눈을,Eyes
나에게,To me
없었어요,I had
만나서,to meet
진정해,Calm down
이것,this
더이상,Anymore
보지,Look
방법을,How to
원래,originally
솔직히,To be honest
좋지,good
하려고,going to do
빌어먹을,Hell
총을,The total
길을,Path
누군지,Who
아니라고,Not
자신을,Himself
여길,Here
있지만,Although
얼른,hurry
얘들아,Guys
대로,Road
만든,made
놈,bloke
조심해,be careful
일에,In one
따라,follow
술,alcohol
정확히,exactly
자기가,He is
충분히,enough
힘을,Power
아저씨,Mister
알겠지,got it
있었는데,It was
사랑하는,Loving
기다리고,Waiting for
될거야,Going
살아,live
평생,forever
아까,earlier
얘야,Hey
눈,Eye
거기에,There
애,Ke
분명,For sure
말하고,Speaking
역시,Also
저희가,we
찾아,find
걔가,He is
이럴,This happens
저기요,excuse me
너와,with you
될까요,Can
천천히,slowly
문제,Problem
수술을,Surgery
좋았어,Cool
어디에,where
문을,The door
맞지,Right
어딨어,Where
조지,George
아녜요,'M not
저녁,dinner
됩니다,It's possible
마요,Mayo
생각엔,Think
만들어,make
적어도,At least
애들,kids
개,dog
잘했어,Well done
그러나,But
주,week
괜찮은,Good
생각은,Thoughts
위에,above
가끔,Sometimes
있었던,It was
간,liver
잠시,for a bit
알아서,By-self
곳에,Place
집을,House
그렇지만,nevertheless
그레이,Gray
그럼요,of course
삶을,The life
마음에,in the heart
살고,live
들고,Holding
분,minute
그랬어,I did
차를,The car
옆에,Next
아이가,The child
이번엔,this time
저게,That
아빠는,Dad
괜찮을,Be fine
하자,lets do it
알았는데,I thought
생각해요,Think about it
없는데,Ve
생각하는,Thinking
아니잖아,It's not
마지막으로,Finally
여자를,A woman
죽었어,Dead
멍청한,stupid
훌륭한,excellent
있었지,Stayed
정도,Degree
베일리,Bailey
준비가,Ready
남은,left
있으니까,Iteunikka
싫어요,I do not like it
입니다,is
영원히,forever
엄청난,exorbitant
정신,mental
는,It is
계세요,anybody home
하는지,That
좋을,Good
있었죠,Had
간다,Goes
기회를,Opportunities
그대로,as it is
하나도,Nothing
멈춰,stop
필요가,Need
도와줘,Help me
다음에,Next
앞에서,in front
뭐든,Whatever
물,water
밖으로,outside
오는,coming
그렇다면,if so
미국,United States of America
말라고,Not to
하지마,Do not
서,book
말한,Told
테니까,Ll
앞에,Before
를,The
처럼,like
저한테,to me
거고,Gonna
받아,receive
그것도,That too
요즘,These days
믿어,believe
뒤로,backwards
놈들이,They are
입고,Wearing
보니,Bonnie
속에,inside
잠시만요,Wait
소리야,You mean
들어봐,listen
자기야,Honey
헤이,Hey
에,on
이해가,Understanding
옷,dress
들어가,Go in
아버지는,My father
않을거야,I'm not
있소,Itso
자네는,You are
모르겠지만,I do not know
누구도,No one
입,mouth
어머니,Mother
특별한,special
좋겠어,I wish
준,Associate
그것은,that is
관한,about
할게,I'll
여기는,here is
언니,sister
환자가,Patients
갈게,I'll go
나야,It's me
제게,Me
하루,One day
단,only
필,Phil
가세요,go
끔찍한,Horrible
걸로,Geolro
사랑,love
일도,Nothing
아름다운,beautiful
년,year
형,brother
뭐요,what
저런,Oh
별,star
아니다,no
받고,under
할거야,Going
쓸,Write
씨발,Fucking
돈이,money
그에게,to him
뭔가를,Something
마음을,Heart
문제는,the problem is
의,of
서둘러,Hurry
못할,Able
없네,Eopne
끝났어,it's over
있을거야,I'll be
머리를,Head
생각하지,Not think
뭐라고요,I beg your pardon
힘든,tiring
보게,Look
가게,store
말해봐,Tell me
밥,rice
상황이,Things
줘요,Give
만큼,as much as
했지만,Although
같은데요,I think
이름,name
엄마를,Moms
전화를,the phone
어쩔,Help
있니,Have
번째,th
할까,Should
얘길,Talk about
찾는,Looking
선생님이,Teacher
진짜로,really
일이에요,One's
건지,Guernsey
가족을,The family
할지,Whether
중이야,VAS
믿지,Trust
닥쳐,Shut up
여기로,Here
저건,That
주고,give
멀리,far
어이,Hey
거짓말,lie
약,about
잭,jack
사실은,The fact is
받을,Receive
그러고,Then
겁니까,Are you
먹을,Eat
그치만,But
너에게,Thee
들었어요,Heard
하기,doing
오빠,brother
오고,Coming
있을까,Can
어린,young
통해,through
아닌데,not really
조금만,a little bit
맞는,right
차에,The car
여자는,Woman
보러,to see
손에,The hand
모르지,I do not know
가까이,closely
테니,I'll
되죠,Doejyo
점점,Getting
잔,glass
이야기를,Stories
물론이죠,Sure
학교,school
주는,That
아가씨,miss
먹어,eat
것에,What
크게,Big
이유는,The reason is
군,group
모두들,Everyone
죽인,Killing
셋,Three
알죠,Know
기억,Memory
경찰,police
제이,second
그래야,So that
목숨을,Their lives
있을까요,Will
아니지만,But not
했다,did
딸,daughter
많아,many
떨어져,away
사람이야,People's
다시는,never
거잖아,DSC02332
애들이,Kids
애를,The kids
을,of
말이다,Says
없다는,That
만들,make
오면,When
할게요,I'll
아기,Baby
영화,movie
가족,family
찾았어,I found it
특히,Especially
아들을,A son
제발요,please
꿈을,dream
세상을,The world
놈을,A guy
아니었어,It was not
마이크,MIC
그리,Draw
무엇을,what
만드는,fabricated
얼마,how much
보여요,Look
사진,Picture
칼,knife
잠시만,Wait a moment
병원에,The hospital
같습니다,Like
바보,Fool